"state","city","datePosted","nanny_jobsPosted"
"AR","little+rock",2020-07-09,2
"AR","little+rock",2020-07-13,2
"AR","little+rock",2020-07-14,2
"AR","little+rock",2020-07-15,2
"AR","little+rock",2020-07-16,2
"AR","little+rock",2020-07-18,2
"AR","little+rock",2020-07-22,1
"AR","little+rock",2020-07-23,2
"AR","little+rock",2020-08-03,2
"AR","little+rock",2020-08-04,13
"AR","little+rock",2020-08-05,1
"AR","little+rock",2020-08-06,1
"AR","little+rock",2020-08-08,2
"AR","little+rock",2020-08-10,6
"AR","little+rock",2020-08-11,1
"AR","little+rock",2020-08-13,2
"AR","little+rock",2020-08-14,1
"AR","north+little+rock",2020-06-23,1
"AR","north+little+rock",2020-06-24,1
"AR","north+little+rock",2020-07-01,2
"AR","north+little+rock",2020-07-08,4
"AR","north+little+rock",2020-07-09,2
"AR","north+little+rock",2020-07-13,2
"AR","north+little+rock",2020-07-14,2
"AR","north+little+rock",2020-07-15,2
"AR","north+little+rock",2020-07-16,2
"AR","north+little+rock",2020-07-18,2
"AR","north+little+rock",2020-07-22,1
"AR","north+little+rock",2020-07-23,2
"AR","north+little+rock",2020-08-03,2
"AR","north+little+rock",2020-08-04,13
"AR","north+little+rock",2020-08-05,1
"AR","north+little+rock",2020-08-06,1
"AR","north+little+rock",2020-08-08,2
"AR","north+little+rock",2020-08-10,6
"AR","north+little+rock",2020-08-11,1
"AR","north+little+rock",2020-08-13,2
"AR","north+little+rock",2020-08-14,1
"AR","pine+bluff",2020-06-24,1
"AR","pine+bluff",2020-07-08,4
"AR","pine+bluff",2020-07-09,2
"AR","pine+bluff",2020-07-13,2
"AR","pine+bluff",2020-07-14,3
"AR","pine+bluff",2020-07-15,2
"AR","pine+bluff",2020-07-16,2
"AR","pine+bluff",2020-07-18,2
"AR","pine+bluff",2020-07-22,1
"AR","pine+bluff",2020-07-23,1
"AR","pine+bluff",2020-08-03,1
"AR","pine+bluff",2020-08-04,2
"AR","rogers",2020-06-21,1
"AR","rogers",2020-07-02,2
"AR","rogers",2020-07-03,4
"AR","rogers",2020-07-13,2
"AR","rogers",2020-07-14,1
"AR","rogers",2020-08-04,12
"AR","rogers",2020-08-11,1
"AR","rogers",2020-08-16,2
"AR","springdale",2020-06-21,1
"AR","springdale",2020-07-02,2
"AR","springdale",2020-07-03,3
"AR","springdale",2020-07-13,2
"AR","springdale",2020-07-14,1
"AR","springdale",2020-08-04,12
"AR","springdale",2020-08-11,1
"AR","springdale",2020-08-16,2
"AZ","chandler",2020-06-22,1
"AZ","chandler",2020-06-26,1
"AZ","chandler",2020-06-30,2
"AZ","chandler",2020-07-04,1
"AZ","chandler",2020-07-08,1
"AZ","chandler",2020-07-10,7
"AZ","chandler",2020-07-11,1
"AZ","chandler",2020-07-14,1
"AZ","chandler",2020-07-16,3
"AZ","chandler",2020-07-17,1
"AZ","chandler",2020-07-18,1
"AZ","chandler",2020-07-20,7
"AZ","chandler",2020-07-21,3
"AZ","chandler",2020-07-24,1
"AZ","chandler",2020-07-25,5
"AZ","chandler",2020-07-26,2
"AZ","chandler",2020-08-02,1
"AZ","chandler",2020-08-03,3
"AZ","chandler",2020-08-04,53
"AZ","chandler",2020-08-05,3
"AZ","chandler",2020-08-06,8
"AZ","chandler",2020-08-07,8
"AZ","chandler",2020-08-08,7
"AZ","chandler",2020-08-09,1
"AZ","chandler",2020-08-10,4
"AZ","chandler",2020-08-11,4
"AZ","chandler",2020-08-12,3
"AZ","chandler",2020-08-13,2
"AZ","chandler",2020-08-14,2
"AZ","chandler",2020-08-15,3
"AZ","chandler",2020-08-16,2
"AZ","chandler",2020-08-17,5
"AZ","gilbert",2020-06-22,1
"AZ","gilbert",2020-06-26,1
"AZ","gilbert",2020-06-29,2
"AZ","gilbert",2020-07-04,1
"AZ","gilbert",2020-07-10,6
"AZ","gilbert",2020-07-11,1
"AZ","gilbert",2020-07-13,1
"AZ","gilbert",2020-07-16,4
"AZ","gilbert",2020-07-17,3
"AZ","gilbert",2020-07-18,4
"AZ","gilbert",2020-07-20,7
"AZ","gilbert",2020-07-21,3
"AZ","gilbert",2020-07-22,3
"AZ","gilbert",2020-07-23,1
"AZ","gilbert",2020-07-24,2
"AZ","gilbert",2020-07-25,4
"AZ","gilbert",2020-07-26,2
"AZ","gilbert",2020-08-02,1
"AZ","gilbert",2020-08-03,3
"AZ","gilbert",2020-08-04,43
"AZ","gilbert",2020-08-05,3
"AZ","gilbert",2020-08-06,6
"AZ","gilbert",2020-08-07,5
"AZ","gilbert",2020-08-08,8
"AZ","gilbert",2020-08-09,2
"AZ","gilbert",2020-08-10,3
"AZ","gilbert",2020-08-11,5
"AZ","gilbert",2020-08-12,6
"AZ","gilbert",2020-08-13,2
"AZ","gilbert",2020-08-14,3
"AZ","gilbert",2020-08-15,4
"AZ","gilbert",2020-08-16,2
"AZ","gilbert",2020-08-17,4
"AZ","glendale",2020-06-26,1
"AZ","glendale",2020-07-01,2
"AZ","glendale",2020-07-04,1
"AZ","glendale",2020-07-08,1
"AZ","glendale",2020-07-09,3
"AZ","glendale",2020-07-10,2
"AZ","glendale",2020-07-11,3
"AZ","glendale",2020-07-13,1
"AZ","glendale",2020-07-15,1
"AZ","glendale",2020-07-16,2
"AZ","glendale",2020-07-17,2
"AZ","glendale",2020-07-18,2
"AZ","glendale",2020-07-20,4
"AZ","glendale",2020-07-21,2
"AZ","glendale",2020-07-22,4
"AZ","glendale",2020-07-23,1
"AZ","glendale",2020-07-24,1
"AZ","glendale",2020-07-25,3
"AZ","glendale",2020-07-26,2
"AZ","glendale",2020-07-31,1
"AZ","glendale",2020-08-02,1
"AZ","glendale",2020-08-03,3
"AZ","glendale",2020-08-04,32
"AZ","glendale",2020-08-05,4
"AZ","glendale",2020-08-06,6
"AZ","glendale",2020-08-07,7
"AZ","glendale",2020-08-08,6
"AZ","glendale",2020-08-09,5
"AZ","glendale",2020-08-10,1
"AZ","glendale",2020-08-11,6
"AZ","glendale",2020-08-12,6
"AZ","glendale",2020-08-13,5
"AZ","glendale",2020-08-14,1
"AZ","glendale",2020-08-15,4
"AZ","glendale",2020-08-16,1
"AZ","glendale",2020-08-17,6
"AZ","mesa",2020-06-22,1
"AZ","mesa",2020-06-26,1
"AZ","mesa",2020-06-29,2
"AZ","mesa",2020-07-01,2
"AZ","mesa",2020-07-04,3
"AZ","mesa",2020-07-10,4
"AZ","mesa",2020-07-11,1
"AZ","mesa",2020-07-16,1
"AZ","mesa",2020-07-17,6
"AZ","mesa",2020-07-18,5
"AZ","mesa",2020-07-20,7
"AZ","mesa",2020-07-21,3
"AZ","mesa",2020-07-22,3
"AZ","mesa",2020-07-23,1
"AZ","mesa",2020-07-24,2
"AZ","mesa",2020-07-25,5
"AZ","mesa",2020-07-26,2
"AZ","mesa",2020-08-02,1
"AZ","mesa",2020-08-03,3
"AZ","mesa",2020-08-04,46
"AZ","mesa",2020-08-05,4
"AZ","mesa",2020-08-06,6
"AZ","mesa",2020-08-07,7
"AZ","mesa",2020-08-08,5
"AZ","mesa",2020-08-09,4
"AZ","mesa",2020-08-10,1
"AZ","mesa",2020-08-11,3
"AZ","mesa",2020-08-12,5
"AZ","mesa",2020-08-13,2
"AZ","mesa",2020-08-14,2
"AZ","mesa",2020-08-15,4
"AZ","mesa",2020-08-16,4
"AZ","mesa",2020-08-17,4
"AZ","peoria",2020-07-01,1
"AZ","peoria",2020-07-09,2
"AZ","peoria",2020-07-10,1
"AZ","peoria",2020-07-11,2
"AZ","peoria",2020-07-13,1
"AZ","peoria",2020-07-16,2
"AZ","peoria",2020-07-17,1
"AZ","peoria",2020-07-20,2
"AZ","peoria",2020-07-21,2
"AZ","peoria",2020-07-22,4
"AZ","peoria",2020-07-23,1
"AZ","peoria",2020-07-24,2
"AZ","peoria",2020-07-25,3
"AZ","peoria",2020-07-26,2
"AZ","peoria",2020-07-31,1
"AZ","peoria",2020-08-02,1
"AZ","peoria",2020-08-03,3
"AZ","peoria",2020-08-04,42
"AZ","peoria",2020-08-05,7
"AZ","peoria",2020-08-06,7
"AZ","peoria",2020-08-07,9
"AZ","peoria",2020-08-08,8
"AZ","peoria",2020-08-09,4
"AZ","peoria",2020-08-10,3
"AZ","peoria",2020-08-11,7
"AZ","peoria",2020-08-12,6
"AZ","peoria",2020-08-13,4
"AZ","peoria",2020-08-14,1
"AZ","peoria",2020-08-15,3
"AZ","peoria",2020-08-16,1
"AZ","peoria",2020-08-17,7
"AZ","phoenix",2020-06-22,1
"AZ","phoenix",2020-06-26,1
"AZ","phoenix",2020-07-01,2
"AZ","phoenix",2020-07-04,1
"AZ","phoenix",2020-07-09,2
"AZ","phoenix",2020-07-10,4
"AZ","phoenix",2020-07-11,3
"AZ","phoenix",2020-07-15,1
"AZ","phoenix",2020-07-16,1
"AZ","phoenix",2020-07-17,3
"AZ","phoenix",2020-07-18,3
"AZ","phoenix",2020-07-19,1
"AZ","phoenix",2020-07-20,9
"AZ","phoenix",2020-07-21,4
"AZ","phoenix",2020-07-22,4
"AZ","phoenix",2020-07-23,1
"AZ","phoenix",2020-07-24,2
"AZ","phoenix",2020-07-25,5
"AZ","phoenix",2020-07-26,2
"AZ","phoenix",2020-08-02,1
"AZ","phoenix",2020-08-03,3
"AZ","phoenix",2020-08-04,54
"AZ","phoenix",2020-08-05,5
"AZ","phoenix",2020-08-06,7
"AZ","phoenix",2020-08-07,9
"AZ","phoenix",2020-08-08,7
"AZ","phoenix",2020-08-09,6
"AZ","phoenix",2020-08-10,2
"AZ","phoenix",2020-08-11,5
"AZ","phoenix",2020-08-12,4
"AZ","phoenix",2020-08-13,1
"AZ","phoenix",2020-08-14,1
"AZ","phoenix",2020-08-15,5
"AZ","phoenix",2020-08-16,2
"AZ","phoenix",2020-08-17,7
"AZ","scottsdale",2020-06-22,1
"AZ","scottsdale",2020-06-26,1
"AZ","scottsdale",2020-07-01,2
"AZ","scottsdale",2020-07-04,1
"AZ","scottsdale",2020-07-10,6
"AZ","scottsdale",2020-07-11,1
"AZ","scottsdale",2020-07-15,1
"AZ","scottsdale",2020-07-16,1
"AZ","scottsdale",2020-07-17,4
"AZ","scottsdale",2020-07-18,1
"AZ","scottsdale",2020-07-19,3
"AZ","scottsdale",2020-07-20,7
"AZ","scottsdale",2020-07-21,4
"AZ","scottsdale",2020-07-22,3
"AZ","scottsdale",2020-07-23,1
"AZ","scottsdale",2020-07-24,2
"AZ","scottsdale",2020-07-25,4
"AZ","scottsdale",2020-07-26,2
"AZ","scottsdale",2020-07-31,1
"AZ","scottsdale",2020-08-02,1
"AZ","scottsdale",2020-08-03,3
"AZ","scottsdale",2020-08-04,45
"AZ","scottsdale",2020-08-05,5
"AZ","scottsdale",2020-08-06,4
"AZ","scottsdale",2020-08-07,12
"AZ","scottsdale",2020-08-08,5
"AZ","scottsdale",2020-08-09,6
"AZ","scottsdale",2020-08-10,2
"AZ","scottsdale",2020-08-11,5
"AZ","scottsdale",2020-08-12,7
"AZ","scottsdale",2020-08-13,2
"AZ","scottsdale",2020-08-14,1
"AZ","scottsdale",2020-08-15,4
"AZ","scottsdale",2020-08-16,3
"AZ","scottsdale",2020-08-17,6
"AZ","surprise",2020-07-01,2
"AZ","surprise",2020-07-08,1
"AZ","surprise",2020-07-09,3
"AZ","surprise",2020-07-10,2
"AZ","surprise",2020-07-11,3
"AZ","surprise",2020-07-13,1
"AZ","surprise",2020-07-16,3
"AZ","surprise",2020-07-17,2
"AZ","surprise",2020-07-18,2
"AZ","surprise",2020-07-20,2
"AZ","surprise",2020-07-21,1
"AZ","surprise",2020-07-22,1
"AZ","surprise",2020-07-25,1
"AZ","surprise",2020-07-26,1
"AZ","surprise",2020-08-02,1
"AZ","surprise",2020-08-03,2
"AZ","surprise",2020-08-04,45
"AZ","surprise",2020-08-05,3
"AZ","surprise",2020-08-06,2
"AZ","surprise",2020-08-07,6
"AZ","surprise",2020-08-08,6
"AZ","surprise",2020-08-09,6
"AZ","surprise",2020-08-10,2
"AZ","surprise",2020-08-11,4
"AZ","surprise",2020-08-12,6
"AZ","surprise",2020-08-13,3
"AZ","surprise",2020-08-14,1
"AZ","surprise",2020-08-15,6
"AZ","surprise",2020-08-17,1
"AZ","tempe",2020-06-22,1
"AZ","tempe",2020-06-26,1
"AZ","tempe",2020-07-01,2
"AZ","tempe",2020-07-04,1
"AZ","tempe",2020-07-10,4
"AZ","tempe",2020-07-11,1
"AZ","tempe",2020-07-16,1
"AZ","tempe",2020-07-17,5
"AZ","tempe",2020-07-18,4
"AZ","tempe",2020-07-19,1
"AZ","tempe",2020-07-20,8
"AZ","tempe",2020-07-21,4
"AZ","tempe",2020-07-22,3
"AZ","tempe",2020-07-23,1
"AZ","tempe",2020-07-24,2
"AZ","tempe",2020-07-25,5
"AZ","tempe",2020-07-26,2
"AZ","tempe",2020-08-02,1
"AZ","tempe",2020-08-03,3
"AZ","tempe",2020-08-04,46
"AZ","tempe",2020-08-05,4
"AZ","tempe",2020-08-06,7
"AZ","tempe",2020-08-07,6
"AZ","tempe",2020-08-08,8
"AZ","tempe",2020-08-09,2
"AZ","tempe",2020-08-10,4
"AZ","tempe",2020-08-11,2
"AZ","tempe",2020-08-12,6
"AZ","tempe",2020-08-13,2
"AZ","tempe",2020-08-14,1
"AZ","tempe",2020-08-15,2
"AZ","tempe",2020-08-16,2
"AZ","tempe",2020-08-17,5
"AZ","tucson",2020-06-24,1
"AZ","tucson",2020-07-03,2
"AZ","tucson",2020-07-06,2
"AZ","tucson",2020-07-07,1
"AZ","tucson",2020-07-09,4
"AZ","tucson",2020-07-14,3
"AZ","tucson",2020-07-15,1
"AZ","tucson",2020-08-04,18
"AZ","tucson",2020-08-05,3
"AZ","tucson",2020-08-06,2
"AZ","tucson",2020-08-07,2
"AZ","tucson",2020-08-08,1
"AZ","tucson",2020-08-11,2
"AZ","tucson",2020-08-13,4
"AZ","tucson",2020-08-14,2
"AZ","tucson",2020-08-15,1
"CA","anaheim",2020-06-24,1
"CA","anaheim",2020-06-25,1
