"state","city","datePosted","security_jobsPosted"
"AL","auburn",2020-07-16,2
"AL","auburn",2020-07-17,1
"AL","auburn",2020-07-18,1
"AL","auburn",2020-07-21,1
"AL","auburn",2020-07-22,4
"AL","auburn",2020-07-23,1
"AL","auburn",2020-07-24,6
"AL","auburn",2020-07-25,1
"AL","auburn",2020-07-26,4
"AL","auburn",2020-07-28,6
"AL","auburn",2020-07-30,2
"AL","auburn",2020-07-31,6
"AL","auburn",2020-08-05,2
"AL","auburn",2020-08-06,3
"AL","auburn",2020-08-07,2
"AL","auburn",2020-08-12,3
"AL","auburn",2020-08-14,1
"AL","birmingham",2020-06-23,2
"AL","birmingham",2020-06-24,1
"AL","birmingham",2020-06-30,1
"AL","birmingham",2020-07-01,5
"AL","birmingham",2020-07-02,2
"AL","birmingham",2020-07-03,10
"AL","birmingham",2020-07-06,1
"AL","birmingham",2020-07-08,9
"AL","birmingham",2020-07-09,5
"AL","birmingham",2020-07-10,3
"AL","birmingham",2020-07-11,3
"AL","birmingham",2020-07-13,5
"AL","birmingham",2020-07-14,4
"AL","birmingham",2020-07-15,8
"AL","birmingham",2020-07-16,8
"AL","birmingham",2020-07-17,2
"AL","birmingham",2020-07-21,12
"AL","birmingham",2020-07-22,6
"AL","birmingham",2020-07-23,3
"AL","birmingham",2020-07-24,1
"AL","birmingham",2020-07-25,2
"AL","birmingham",2020-07-28,6
"AL","birmingham",2020-07-29,7
"AL","birmingham",2020-07-30,6
"AL","birmingham",2020-07-31,3
"AL","birmingham",2020-08-01,7
"AL","birmingham",2020-08-03,3
"AL","birmingham",2020-08-05,3
"AL","birmingham",2020-08-06,3
"AL","birmingham",2020-08-07,2
"AL","birmingham",2020-08-10,2
"AL","birmingham",2020-08-14,2
"AL","birmingham",2020-08-17,1
"AL","decatur",2020-06-24,1
"AL","decatur",2020-06-25,1
"AL","decatur",2020-06-26,2
"AL","decatur",2020-06-29,1
"AL","decatur",2020-06-30,1
"AL","decatur",2020-07-01,1
"AL","decatur",2020-07-02,7
"AL","decatur",2020-07-03,2
"AL","decatur",2020-07-06,2
"AL","decatur",2020-07-07,5
"AL","decatur",2020-07-08,2
"AL","decatur",2020-07-09,1
"AL","decatur",2020-07-10,4
"AL","decatur",2020-07-11,1
"AL","decatur",2020-07-13,7
"AL","decatur",2020-07-14,5
"AL","decatur",2020-07-15,3
"AL","decatur",2020-07-16,1
"AL","decatur",2020-07-17,1
"AL","decatur",2020-07-18,1
"AL","decatur",2020-07-20,1
"AL","decatur",2020-07-21,6
"AL","decatur",2020-07-22,4
"AL","decatur",2020-07-23,5
"AL","decatur",2020-07-24,10
"AL","decatur",2020-07-27,1
"AL","decatur",2020-07-28,7
"AL","decatur",2020-07-29,6
"AL","decatur",2020-07-30,2
"AL","decatur",2020-07-31,5
"AL","decatur",2020-08-01,12
"AL","decatur",2020-08-02,3
"AL","decatur",2020-08-03,6
"AL","decatur",2020-08-04,4
"AL","decatur",2020-08-06,10
"AL","decatur",2020-08-07,1
"AL","decatur",2020-08-08,4
"AL","decatur",2020-08-10,2
"AL","decatur",2020-08-12,3
"AL","decatur",2020-08-13,1
"AL","decatur",2020-08-14,1
"AL","decatur",2020-08-15,1
"AL","decatur",2020-08-16,4
"AL","decatur",2020-08-17,3
"AL","dothan",2020-07-08,3
"AL","dothan",2020-07-15,2
"AL","dothan",2020-07-16,1
"AL","dothan",2020-07-17,5
"AL","dothan",2020-07-18,6
"AL","dothan",2020-07-19,2
"AL","dothan",2020-07-21,6
"AL","dothan",2020-07-24,3
"AL","dothan",2020-07-25,1
"AL","dothan",2020-07-30,1
"AL","dothan",2020-07-31,4
"AL","dothan",2020-08-06,1
"AL","dothan",2020-08-07,3
"AL","dothan",2020-08-12,2
"AL","dothan",2020-08-14,1
"AL","hoover",2020-06-23,1
"AL","hoover",2020-06-24,1
"AL","hoover",2020-06-30,1
"AL","hoover",2020-07-01,5
"AL","hoover",2020-07-02,2
"AL","hoover",2020-07-03,10
"AL","hoover",2020-07-06,1
"AL","hoover",2020-07-08,9
"AL","hoover",2020-07-09,5
"AL","hoover",2020-07-10,3
"AL","hoover",2020-07-11,4
"AL","hoover",2020-07-13,3
"AL","hoover",2020-07-14,6
