"birmingham","al","nanny","Part-time Nanny for 3 Children","Gardendale, AL 35071+2 locations","2","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 1 Child","Pinson, AL 35126+1 location","10","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 2 Children","Helena, AL 35080","24","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Part-time Nanny for 3 Children","Gardendale, AL 35071+2 locations","2","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 1 Child","Pinson, AL 35126+1 location","10","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 2 Children","Helena, AL 35080","24","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Part-time Nanny for 3 Children","Gardendale, AL 35071+2 locations","2","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 1 Child","Pinson, AL 35126+1 location","10","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 2 Children","Helena, AL 35080","24","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Part-time Nanny for 3 Children","Gardendale, AL 35071+2 locations","2","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 1 Child","Pinson, AL 35126+1 location","10","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 2 Children","Helena, AL 35080","24","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Part-time Nanny for 3 Children","Gardendale, AL 35071+2 locations","2","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 1 Child","Pinson, AL 35126+1 location","10","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"birmingham","al","nanny","Full-time Nanny for 2 Children","Helena, AL 35080","24","Mon Jul 20 18:14:36 2020",12,12,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 2 Children","Big Cove, AL 35763+2 locations","5","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 1 Child","Huntsville, AL 35802+1 location","18","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Part-time Nanny for 1 Child","Huntsville, AL 35801+1 location","29","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Part-time Nanny for 2 Children","Madison, AL 35757+1 location","3","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","One-time Babysitter for 3 Children","Huntsville, AL 35810","30","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 2 Children","Big Cove, AL 35763+2 locations","5","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 1 Child","Meridianville, AL 35759+1 location","9","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Part-time Nanny for 1 Child","Huntsville, AL 35801+1 location","29","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Part-time Nanny for 2 Children","Madison, AL 35757+1 location","3","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","One-time Babysitter for 3 Children","Huntsville, AL 35810","30","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 2 Children","Big Cove, AL 35763+2 locations","5","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 1 Child","Meridianville, AL 35759+1 location","9","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Part-time Nanny for 1 Child","Huntsville, AL 35801+1 location","29","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Part-time Nanny for 2 Children","Madison, AL 35757+1 location","3","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","One-time Babysitter for 3 Children","Huntsville, AL 35810","30","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 2 Children","Big Cove, AL 35763+2 locations","5","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
"huntsville","al","nanny","Full-time Nanny for 1 Child","Meridianville, AL 35759+1 location","9","Mon Jul 20 18:14:39 2020",10,20,"NA","NA"
