"state","topCity","population","stateAbbreviations"
"kentucky","Nicholasville",32113,"KY"
"kentucky","Elizabethtown",30837,"KY"
"louisiana","New Orleans",390128,"LA"
"louisiana","Baton Rouge",216701,"LA"
"louisiana","Shreveport",183819,"LA"
"louisiana","Metairie",143481,"LA"
"louisiana","Lafayette",124561,"LA"
"louisiana","Lake Charles",80169,"LA"
"louisiana","Bossier City",68915,"LA"
"louisiana","Kenner",66351,"LA"
"louisiana","Monroe",46737,"LA"
"louisiana","Alexandria",45808,"LA"
"maine","Portland",66067,"ME"
"maine","Lewiston",35868,"ME"
"maine","Bangor",32167,"ME"
"maine","South Portland",25474,"ME"
"maine","Auburn",23256,"ME"
"maine","Biddeford",21574,"ME"
"maine","Sanford",21335,"ME"
"maine","Saco",20352,"ME"
"maine","Westbrook",19760,"ME"
"maine","Augusta",18809,"ME"
"maryland","Baltimore",590479,"MD"
"maryland","Columbia",103663,"MD"
"maryland","Germantown",90844,"MD"
"maryland","Silver Spring",79750,"MD"
"maryland","Waldorf",74587,"MD"
"maryland","Frederick",74346,"MD"
"maryland","Ellicott City",72247,"MD"
"maryland","Rockville",70088,"MD"
"maryland","Glen Burnie",69813,"MD"
"maryland","Gaithersburg",69079,"MD"
"massachusetts","Boston",710195,"MA"
"massachusetts","Worcester",186433,"MA"
"massachusetts","Springfield",155472,"MA"
"massachusetts","Cambridge",121783,"MA"
"massachusetts","Lowell",112626,"MA"
"massachusetts","Brockton",96313,"MA"
"massachusetts","Lynn",96032,"MA"
"massachusetts","New Bedford",95155,"MA"
"massachusetts","Quincy",94948,"MA"
"massachusetts","Fall River",89633,"MA"
"michigan","Detroit",667272,"MI"
"michigan","Grand Rapids",205289,"MI"
"michigan","Warren",134375,"MI"
"michigan","Sterling Heights",133370,"MI"
"michigan","Ann Arbor",123062,"MI"
"michigan","Lansing",120921,"MI"
"michigan","Flint",94867,"MI"
"michigan","Dearborn",93587,"MI"
"michigan","Livonia",93375,"MI"
"michigan","Troy",84470,"MI"
"minnesota","Minneapolis",437069,"MN"
"minnesota","St. Paul",311895,"MN"
"minnesota","Rochester",119917,"MN"
"minnesota","Bloomington",85818,"MN"
"minnesota","Duluth",85728,"MN"
"minnesota","Brooklyn Park",81486,"MN"
"minnesota","Plymouth",81014,"MN"
"minnesota","Maple Grove",74063,"MN"
"minnesota","Woodbury",73404,"MN"
"minnesota","Lakeville",69295,"MN"
"mississippi","Jackson",160080,"MS"
"mississippi","Gulfport",72670,"MS"
"mississippi","Southaven",56792,"MS"
"mississippi","Biloxi",46370,"MS"
"mississippi","Hattiesburg",45309,"MS"
"mississippi","Olive Branch",39837,"MS"
"mississippi","Tupelo",38030,"MS"
"mississippi","Meridian",35949,"MS"
"mississippi","Greenville",28508,"MS"
"mississippi","Horn Lake",27479,"MS"
"missouri","Kansas City",505198,"MO"
"missouri","St. Louis",293792,"MO"
"missouri","Springfield",169552,"MO"
"missouri","Columbia",125976,"MO"
"missouri","Independence",116715,"MO"
"missouri","Lee's Summit",100683,"MO"
"missouri","O'Fallon",90684,"MO"
"missouri","St. Joseph",75399,"MO"
"missouri","St. Charles",72750,"MO"
"missouri","St. Peters",57167,"MO"
"montana","Billings",109868,"MT"
"montana","Missoula",77058,"MT"
"montana","Great Falls",58627,"MT"
"montana","Bozeman",52034,"MT"
"montana","Butte",34676,"MT"
"montana","Helena",33525,"MT"
"montana","Kalispell",25288,"MT"
"montana","Belgrade",9757,"MT"
"montana","Havre",9751,"MT"
"montana","Anaconda-Deer Lodge County",9201,"MT"
"nebraska","Omaha",470702,"NE"
"nebraska","Lincoln",293905,"NE"
"nebraska","Bellevue",53945,"NE"
"nebraska","Grand Island",51440,"NE"
"nebraska","Kearney",34301,"NE"
"nebraska","Fremont",26731,"NE"
"nebraska","Norfolk",25027,"NE"
"nebraska","Hastings",24972,"NE"
"nebraska","Columbus",23752,"NE"
"nebraska","North Platte",23522,"NE"
"nevada","Las Vegas",662000,"NV"
"nevada","Henderson",330084,"NV"
"nevada","Reno",260258,"NV"
"nevada","North Las Vegas",253923,"NV"
"nevada","Paradise",233689,"NV"
"nevada","Spring Valley",199722,"NV"
"nevada","Sunrise Manor",192934,"NV"
"nevada","Enterprise",164314,"NV"
"nevada","Sparks",108334,"NV"
"nevada","Carson City",56336,"NV"
"new-hampshire","Manchester",113441,"NH"
"new-hampshire","Nashua",90080,"NH"
"new-hampshire","Concord",43840,"NH"
"new-hampshire","Dover",32343,"NH"
"new-hampshire","Rochester",32224,"NH"
"new-hampshire","Keene",23146,"NH"
"new-hampshire","Derry",22381,"NH"
"new-hampshire","Portsmouth",22282,"NH"
"new-hampshire","Laconia",16532,"NH"
"new-hampshire","Lebanon",13582,"NH"
"new-jersey","Newark",282862,"NJ"
"new-jersey","Jersey City",271099,"NJ"
"new-jersey","Paterson",145871,"NJ"
"new-jersey","Elizabeth",129147,"NJ"
"new-jersey","Toms River",88712,"NJ"
"new-jersey","Clifton",85279,"NJ"
"new-jersey","Trenton",84386,"NJ"
"new-jersey","Camden",73811,"NJ"
"new-jersey","Passaic",69816,"NJ"
"new-jersey","Union City",68718,"NJ"
"new-mexico","Albuquerque",561188,"NM"
"new-mexico","Las Cruces",104148,"NM"
"new-mexico","Rio Rancho",101475,"NM"
"new-mexico","Santa Fe",85502,"NM"
"new-mexico","Roswell",46977,"NM"
"new-mexico","Farmington",44044,"NM"
"new-mexico","South Valley",41011,"NM"
"new-mexico","Clovis",38008,"NM"
"new-mexico","Hobbs",37465,"NM"
"new-mexico","Alamogordo",32205,"NM"
"new-york","New York",8323340,"NY"
"new-york","Buffalo",255244,"NY"
"new-york","Rochester",203792,"NY"
"new-york","Yonkers",199021,"NY"
"new-york","Syracuse",140987,"NY"
"new-york","Albany",96853,"NY"
"new-york","New Rochelle",77912,"NY"
"new-york","Cheektowaga",74026,"NY"
"new-york","Mount Vernon",66955,"NY"
"new-york","Schenectady",66107,"NY"
"north-carolina","Charlotte",905318,"NC"
"north-carolina","Raleigh",481958,"NC"
"north-carolina","Greensboro",299946,"NC"
"north-carolina","Durham",282737,"NC"
"north-carolina","Winston-Salem",251762,"NC"
"north-carolina","Fayetteville",205646,"NC"
"north-carolina","Cary",175102,"NC"
"north-carolina","Wilmington",126669,"NC"
"north-carolina","High Point",112900,"NC"
"north-carolina","Concord",98842,"NC"
"north-dakota","Fargo",129530,"ND"
"north-dakota","Bismarck",74162,"ND"
"north-dakota","Grand Forks",57060,"ND"
"north-dakota","Minot",45732,"ND"
"north-dakota","West Fargo",38718,"ND"
"north-dakota","Williston",25810,"ND"
"north-dakota","Mandan",22973,"ND"
"north-dakota","Dickinson",21835,"ND"
"north-dakota","Jamestown",15310,"ND"
"north-dakota","Wahpeton",7789,"ND"
"ohio","Columbus",922223,"OH"
"ohio","Cleveland",379233,"OH"
"ohio","Cincinnati",306487,"OH"
"ohio","Toledo",270651,"OH"
"ohio","Akron",198148,"OH"
"ohio","Dayton",139756,"OH"
"ohio","Parma",77755,"OH"
"ohio","Canton",69546,"OH"
"ohio","Youngstown",65422,"OH"
"ohio","Lorain",64170,"OH"
"oklahoma","Oklahoma City",655407,"OK"
"oklahoma","Tulsa",396543,"OK"
"oklahoma","Norman",126377,"OK"
"oklahoma","Broken Arrow",110135,"OK"
"oklahoma","Edmond",93849,"OK"
"oklahoma","Lawton",92543,"OK"
"oklahoma","Moore",63117,"OK"
"oklahoma","Midwest City",56883,"OK"
"oklahoma","Stillwater",50941,"OK"
"oklahoma","Enid",48015,"OK"
"oregon","Portland",664103,"OR"
"oregon","Salem",179944,"OR"
"oregon","Eugene",178329,"OR"
"oregon","Hillsboro",112489,"OR"
"oregon","Gresham",109216,"OR"
"oregon","Bend",105418,"OR"
"oregon","Beaverton",99102,"OR"
"oregon","Medford",84397,"OR"
"oregon","Springfield",64717,"OR"
"oregon","Corvallis",61027,"OR"
"pennsylvania","Philadelphia",1591800,"PA"
"pennsylvania","Pittsburgh",294860,"PA"
"pennsylvania","Allentown",122623,"PA"
"pennsylvania","Erie",94619,"PA"
"pennsylvania","Reading",88521,"PA"
"pennsylvania","Scranton",77218,"PA"
"pennsylvania","Bethlehem",76370,"PA"
"pennsylvania","Lancaster",59392,"PA"
"pennsylvania","Levittown",51726,"PA"
"pennsylvania","Harrisburg",49301,"PA"
"rhode-island","Providence",178901,"RI"
"rhode-island","Cranston",80966,"RI"
"rhode-island","Warwick",80487,"RI"
"rhode-island","Pawtucket",71581,"RI"
"rhode-island","East Providence",47314,"RI"
"rhode-island","Woonsocket",41585,"RI"
"rhode-island","Newport",24238,"RI"
"rhode-island","Central Falls",19028,"RI"
"rhode-island","Westerly",17435,"RI"
"rhode-island","Valley Falls",11828,"RI"
"south-carolina","Charleston",138458,"SC"
"south-carolina","Columbia",133031,"SC"
"south-carolina","North Charleston",115383,"SC"
"south-carolina","Mount Pleasant",94932,"SC"
"south-carolina","Rock Hill",76159,"SC"
"south-carolina","Greenville",71171,"SC"
"south-carolina","Summerville",54198,"SC"
"south-carolina","Goose Creek",44227,"SC"
"south-carolina","Hilton Head Island",39721,"SC"
"south-carolina","Sumter",39080,"SC"
"south-dakota","Sioux Falls",190519,"SD"
"south-dakota","Rapid City",77525,"SD"
"south-dakota","Aberdeen",29180,"SD"
"south-dakota","Brookings",25149,"SD"
"south-dakota","Watertown",22285,"SD"
"south-dakota","Mitchell",15568,"SD"
"south-dakota","Yankton",14676,"SD"
"south-dakota","Huron",14280,"SD"
"south-dakota","Pierre",14034,"SD"
"south-dakota","Spearfish",12084,"SD"
"tennessee","Nashville",673167,"TN"
"tennessee","Memphis",647374,"TN"
"tennessee","Knoxville",191060,"TN"
"tennessee","Chattanooga",184143,"TN"
"tennessee","Clarksville",164496,"TN"
"tennessee","Murfreesboro",151066,"TN"
"tennessee","Franklin",88004,"TN"
"tennessee","Jackson",66989,"TN"
"tennessee","Johnson City",66936,"TN"
"tennessee","Bartlett",59709,"TN"
"texas","Houston",2340890,"TX"
"texas","San Antonio",1578030,"TX"
"texas","Dallas",1382270,"TX"
"texas","Austin",988218,"TX"
"texas","Fort Worth",932116,"TX"
"texas","El Paso",685575,"TX"
"texas","Arlington",402762,"TX"
