"state","city","datePosted","personalAssistant_jobsPosted"
"AL","hoover",2020-07-31,5
"AL","hoover",2020-08-01,1
"AL","hoover",2020-08-02,1
"AL","hoover",2020-08-04,1
"AL","hoover",2020-08-09,3
"AL","hoover",2020-08-11,1
"AL","hoover",2020-08-14,2
"AL","hoover",2020-08-17,1
"AL","huntsville",2020-06-28,1
"AL","huntsville",2020-06-29,1
"AL","huntsville",2020-06-30,1
"AL","huntsville",2020-07-08,1
"AL","huntsville",2020-07-09,1
"AL","huntsville",2020-07-13,1
"AL","huntsville",2020-07-16,2
"AL","huntsville",2020-07-17,4
"AL","huntsville",2020-07-22,4
"AL","huntsville",2020-07-23,3
"AL","huntsville",2020-07-24,1
"AL","huntsville",2020-07-30,2
"AL","huntsville",2020-07-31,1
"AL","huntsville",2020-08-03,5
"AL","huntsville",2020-08-04,1
"AL","huntsville",2020-08-10,3
"AL","huntsville",2020-08-11,1
"AL","huntsville",2020-08-13,1
"AL","huntsville",2020-08-16,1
"AL","huntsville",2020-08-17,1
"AL","madison",2020-06-28,1
"AL","madison",2020-06-29,1
"AL","madison",2020-06-30,1
"AL","madison",2020-07-08,1
"AL","madison",2020-07-09,1
"AL","madison",2020-07-13,1
"AL","madison",2020-07-14,1
"AL","madison",2020-07-16,1
"AL","madison",2020-07-17,3
"AL","madison",2020-07-20,2
"AL","madison",2020-07-22,4
"AL","madison",2020-07-23,3
"AL","madison",2020-07-24,1
"AL","madison",2020-07-30,2
"AL","madison",2020-07-31,1
"AL","madison",2020-08-03,5
"AL","madison",2020-08-04,1
"AL","madison",2020-08-08,1
"AL","madison",2020-08-10,2
"AL","madison",2020-08-11,1
"AL","madison",2020-08-13,1
"AL","madison",2020-08-16,1
"AL","madison",2020-08-17,2
"AL","mobile",2020-07-08,2
"AL","mobile",2020-07-09,1
"AL","mobile",2020-07-11,1
"AL","mobile",2020-07-28,4
"AL","mobile",2020-07-30,1
"AL","mobile",2020-07-31,1
"AL","mobile",2020-08-11,1
"AL","mobile",2020-08-12,1
"AL","mobile",2020-08-13,1
"AL","montgomery",2020-07-06,4
"AL","montgomery",2020-07-07,2
"AL","montgomery",2020-07-16,1
"AL","montgomery",2020-07-20,1
"AL","montgomery",2020-07-21,1
"AL","montgomery",2020-07-24,1
"AL","montgomery",2020-07-25,2
"AL","montgomery",2020-07-31,1
"AL","montgomery",2020-08-07,3
"AL","montgomery",2020-08-08,1
"AL","montgomery",2020-08-14,1
"AL","montgomery",2020-08-17,1
"AL","tuscaloosa",2020-06-30,1
"AL","tuscaloosa",2020-07-11,1
"AL","tuscaloosa",2020-07-24,1
"AL","tuscaloosa",2020-07-30,1
"AR","bentonville",2020-06-22,1
"AR","bentonville",2020-06-23,1
"AR","bentonville",2020-07-09,3
"AR","bentonville",2020-07-10,1
"AR","bentonville",2020-07-17,3
"AR","bentonville",2020-07-18,6
"AR","bentonville",2020-07-24,2
"AR","bentonville",2020-07-25,1
"AR","bentonville",2020-07-28,1
"AR","bentonville",2020-07-31,1
"AR","bentonville",2020-08-03,1
"AR","bentonville",2020-08-10,1
"AR","bentonville",2020-08-16,1
"AR","conway",2020-06-24,1
"AR","conway",2020-07-02,1
"AR","conway",2020-07-25,1
"AR","conway",2020-08-03,3
"AR","conway",2020-08-04,2
"AR","conway",2020-08-05,2
"AR","conway",2020-08-06,1
"AR","conway",2020-08-07,1
"AR","conway",2020-08-10,1
"AR","fayetteville",2020-06-22,1
"AR","fayetteville",2020-06-23,1
"AR","fayetteville",2020-07-09,3
"AR","fayetteville",2020-07-10,1
"AR","fayetteville",2020-07-17,3
"AR","fayetteville",2020-07-18,6
"AR","fayetteville",2020-07-24,2
"AR","fayetteville",2020-07-25,1
"AR","fayetteville",2020-07-28,1
"AR","fayetteville",2020-07-31,1
"AR","fayetteville",2020-08-03,1
"AR","fayetteville",2020-08-10,1
"AR","fayetteville",2020-08-16,1
"AR","fort+smith",2020-07-11,1
"AR","fort+smith",2020-07-24,1
"AR","fort+smith",2020-08-11,1
"AR","jonesboro",2020-07-11,1
"AR","little+rock",2020-06-21,1
"AR","little+rock",2020-06-22,1
"AR","little+rock",2020-06-24,1
"AR","little+rock",2020-07-01,1
"AR","little+rock",2020-07-02,1
"AR","little+rock",2020-07-08,1
"AR","little+rock",2020-07-14,1
"AR","little+rock",2020-07-20,1
"AR","little+rock",2020-07-25,1
"AR","little+rock",2020-08-03,1
"AR","little+rock",2020-08-04,2
"AR","little+rock",2020-08-05,3
"AR","little+rock",2020-08-06,2
"AR","little+rock",2020-08-07,3
"AR","little+rock",2020-08-10,1
"AR","little+rock",2020-08-12,1
"AR","north+little+rock",2020-06-21,1
"AR","north+little+rock",2020-06-22,1
"AR","north+little+rock",2020-07-01,1
"AR","north+little+rock",2020-07-02,1
"AR","north+little+rock",2020-07-08,1
"AR","north+little+rock",2020-07-11,1
"AR","north+little+rock",2020-07-14,1
"AR","north+little+rock",2020-07-20,1
"AR","north+little+rock",2020-07-25,1
"AR","north+little+rock",2020-08-03,1
"AR","north+little+rock",2020-08-04,2
"AR","north+little+rock",2020-08-05,3
"AR","north+little+rock",2020-08-06,2
"AR","north+little+rock",2020-08-07,3
"AR","north+little+rock",2020-08-10,1
"AR","north+little+rock",2020-08-12,1
"AR","pine+bluff",2020-07-15,3
"AR","pine+bluff",2020-07-16,2
"AR","pine+bluff",2020-07-31,1
"AR","pine+bluff",2020-08-01,1
"AR","pine+bluff",2020-08-04,1
"AR","pine+bluff",2020-08-05,1
"AR","pine+bluff",2020-08-07,1
"AR","pine+bluff",2020-08-10,1
"AR","pine+bluff",2020-08-12,1
"AR","rogers",2020-06-22,1
"AR","rogers",2020-06-23,1
"AR","rogers",2020-07-09,3
"AR","rogers",2020-07-10,1
"AR","rogers",2020-07-11,1
"AR","rogers",2020-07-17,3
"AR","rogers",2020-07-18,6
"AR","rogers",2020-07-24,2
"AR","rogers",2020-07-25,1
"AR","rogers",2020-07-28,1
"AR","rogers",2020-07-31,1
"AR","rogers",2020-08-03,1
"AR","rogers",2020-08-10,1
"AR","rogers",2020-08-16,1
"AR","springdale",2020-06-22,1
"AR","springdale",2020-06-23,1
"AR","springdale",2020-07-09,3
"AR","springdale",2020-07-10,1
"AR","springdale",2020-07-17,3
"AR","springdale",2020-07-18,6
"AR","springdale",2020-07-24,2
"AR","springdale",2020-07-25,1
"AR","springdale",2020-07-28,1
"AR","springdale",2020-07-31,1
"AR","springdale",2020-08-03,1
"AR","springdale",2020-08-10,1
"AR","springdale",2020-08-16,1
"AZ","chandler",2020-06-23,3
"AZ","chandler",2020-06-25,1
"AZ","chandler",2020-06-26,3
"AZ","chandler",2020-06-27,3
"AZ","chandler",2020-06-30,2
"AZ","chandler",2020-07-01,3
"AZ","chandler",2020-07-02,2
"AZ","chandler",2020-07-03,1
"AZ","chandler",2020-07-04,1
"AZ","chandler",2020-07-06,1
"AZ","chandler",2020-07-07,2
"AZ","chandler",2020-07-08,4
"AZ","chandler",2020-07-09,3
"AZ","chandler",2020-07-10,3
"AZ","chandler",2020-07-11,1
"AZ","chandler",2020-07-13,3
"AZ","chandler",2020-07-14,4
"AZ","chandler",2020-07-15,2
"AZ","chandler",2020-07-16,4
"AZ","chandler",2020-07-17,4
"AZ","chandler",2020-07-18,2
"AZ","chandler",2020-07-19,1
"AZ","chandler",2020-07-20,1
"AZ","chandler",2020-07-21,4
"AZ","chandler",2020-07-22,6
"AZ","chandler",2020-07-23,2
"AZ","chandler",2020-07-24,3
"AZ","chandler",2020-07-25,2
"AZ","chandler",2020-07-27,7
"AZ","chandler",2020-07-28,7
"AZ","chandler",2020-07-29,3
"AZ","chandler",2020-07-30,4
"AZ","chandler",2020-07-31,5
"AZ","chandler",2020-08-01,2
"AZ","chandler",2020-08-03,1
"AZ","chandler",2020-08-04,1
"AZ","chandler",2020-08-05,2
"AZ","chandler",2020-08-06,2
"AZ","chandler",2020-08-07,3
"AZ","chandler",2020-08-08,2
"AZ","chandler",2020-08-10,1
"AZ","chandler",2020-08-11,2
"AZ","chandler",2020-08-13,2
"AZ","chandler",2020-08-14,4
"AZ","chandler",2020-08-15,1
"AZ","chandler",2020-08-16,3
"AZ","chandler",2020-08-17,4
"AZ","gilbert",2020-06-23,2
"AZ","gilbert",2020-06-25,1
"AZ","gilbert",2020-06-26,2
"AZ","gilbert",2020-06-27,2
"AZ","gilbert",2020-06-30,2
"AZ","gilbert",2020-07-01,2
"AZ","gilbert",2020-07-02,2
"AZ","gilbert",2020-07-03,1
"AZ","gilbert",2020-07-04,1
"AZ","gilbert",2020-07-06,3
"AZ","gilbert",2020-07-07,3
"AZ","gilbert",2020-07-08,4
"AZ","gilbert",2020-07-09,2
"AZ","gilbert",2020-07-10,4
"AZ","gilbert",2020-07-11,1
"AZ","gilbert",2020-07-13,3
"AZ","gilbert",2020-07-14,4
"AZ","gilbert",2020-07-15,2
"AZ","gilbert",2020-07-16,2
"AZ","gilbert",2020-07-17,5
"AZ","gilbert",2020-07-18,2
"AZ","gilbert",2020-07-19,1
"AZ","gilbert",2020-07-20,2
"AZ","gilbert",2020-07-21,2
"AZ","gilbert",2020-07-22,6
"AZ","gilbert",2020-07-23,2
"AZ","gilbert",2020-07-24,4
"AZ","gilbert",2020-07-25,2
"AZ","gilbert",2020-07-26,1
"AZ","gilbert",2020-07-27,7
"AZ","gilbert",2020-07-28,7
"AZ","gilbert",2020-07-29,5
"AZ","gilbert",2020-07-30,7
"AZ","gilbert",2020-07-31,6
"AZ","gilbert",2020-08-01,1
"AZ","gilbert",2020-08-03,1
"AZ","gilbert",2020-08-04,1
